Tarih,İslamiyet öncesi Türk tarihinde hazine görevlisine ne ad verilirdi?,Agıcı
Tarih,İslamiyet öncesi Türk tarihinde sivil yöneticiye _____ denirdi.,Apa
Tarih,Tiginleri eğiten kişiye verilen unvanlar nelerdi?,Ataman, İnal, İnanç
Tarih,İslamiyet öncesi Türk devletlerinde vezir karşılığı olan kavram nedir?,Ayguci
Tarih,İslamiyet öncesi Türk devletlerinde 'hükûmet' anlamına gelen kelime nedir?,Ayuki
Tarih,Mezar taşı anlamına gelen İslamiyet öncesi Türk kavramı hangisidir?,Balbal
Tarih,Uygurlarda ressam için kullanılan kavram _____ idi.,Bedizci
Tarih,Yazışmalardan sorumlu olan görevliye ne ad verilirdi?,Bitikçi
Tarih,İslamiyet öncesi Türk toplum yapısında 'millet' ne anlama geliyordu?,Bodun
Tarih,İslamiyet öncesi Türk devletlerinde bakan için kullanılan terim nedir?,Buyruk
Tarih,İslamiyet öncesi Türk sanatında duvar resmine ne ad verilir?,Fresk
Tarih,Din adamları için kullanılan isimler nelerdi?,Kam, Şaman, Baksı
Tarih,Töre'nin değişmez kurallarından olan 'adalet' kavramının Türkçe karşılığı nedir?,Könilik
Tarih,İslamiyet öncesi Türklerde mezara ne denirdi?,Kurgan
Tarih,Hükümdarın çadırına verilen isim nedir?,Otağ
Tarih,İslamiyet öncesi Türk devletlerinde taht anlamına gelen kelime _____ idi.,Örgin
Tarih,Yönetici olan hükümdar çocuğuna ne ad verilirdi?,Şad
Tarih,Mühürdarlık görevini yürüten kişiye ne denirdi?,Tamgacı
Tarih,İslamiyet öncesi Türk inancında cehennemin karşılığı nedir?,Tamu
Tarih,Askerî vali veya ordu komutanı için kullanılan unvan hangisidir?,Tarkan
Tarih,Hükümdarın erkek çocuğuna ne denirdi?,Tigin
Tarih,Vergi memuruna verilen isim nedir?,Tudun
Tarih,İslamiyet öncesi Türk inancında cennetin karşılığı nedir?,Uçmağ
Tarih,Sosyal yapıda sülaleyi ifade eden kavram hangisidir?,Urug
Tarih,İslamiyet öncesi Türklerde madeni paraya ne ad verilirdi?,Yarmak
Tarih,Cenaze törenlerine verilen genel isim nedir?,Yug
Tarih,Çin kaynaklarına göre 'Türk' adının anlamı nedir?,Miğfer
Tarih,Kaşgarlı Mahmut'a göre 'Türk' adının anlamı nedir?,Olgunluk Çağı
Tarih,Ziya Gökalp'e göre 'Türk' adının anlamı nedir?,Kanun ve nizam sahibi
Tarih,'Türk' adı ilk defa hangi devletin kaynaklarında geçmektedir?,Çin
Tarih,'Türkiye' adı ilk kez hangi devletin kaynaklarında geçmektedir?,Bizans
Tarih,Türk tarihinde 'Toprak Ana' veya 'Kutlu Şehir' olarak bilinen yer neresidir?,Ötüken
Tarih,Orta Asya'ya ait en eski kültür merkezi hangisidir?,Anav
Tarih,Türklere ait en eski kültür merkezi olarak kabul edilen yer neresidir?,Afanesyova
Tarih,Demiri birçok kültürden önce işleyen Orta Asya kültür merkezi hangisidir?,Karasuk
Tarih,Günümüze en yakın ve en gelişmiş Orta Asya kültür merkezi hangisidir?,Tagar
Tarih,Bilinen ilk Türk topluluğu hangisidir?,İskitler (Sakalar)
Tarih,İskitlerin en önemli lideri kimdir?,Alper Tunga
Tarih,İskitler hangi lakapla bilinirler?,Bozkırın kuyumcuları
Tarih,Dünyada bilinen ilk kadın hükümdar olan Tomris Hatun, hangi topluluğa mensuptur?,İskitler
Tarih,İran-İskit mücadelesini anlatan ve Firdevsi tarafından yazılan eser hangisidir?,Şehname
Tarih,Alper Tunga, tarihî vesikalarda hangi isimle bilinir?,Afrasiyab
Tarih,Orta Asya'da kurulan ilk Türk devleti hangisidir?,Asya Hun Devleti
Tarih,Asya Hun Devleti'nin kurucusu kimdir?,Teoman (Tuman)
Tarih,Asya Hun Devleti'nin en parlak dönemi hangi hükümdar zamanındadır?,Metehan
Tarih,Tarihteki ilk düzenli kara ordusunu kim kurmuştur?,Metehan
Tarih,Türk adının geçtiği ilk belge olarak kabul edilen antlaşma hangisidir?,Kuzey Şansi Antlaşması
Tarih,Günümüzde Kara Kuvvetleri Komutanlığının kuruluşu olarak kabul edilen M.Ö. 209 tarihi, hangi olaya dayanmaktadır?,Mete Han'ın tahta çıkışı
Tarih,Mete Han, kaynaklarda hangi isimle de bilinir?,Oğuz Kağan
Tarih,Kavimler Göçü'nün sonucunda Avrupa'da ortaya çıkan ve kilisenin güçlendiği dogmatik düşünce sistemi nedir?,Skolastik düşünce
Tarih,Kavimler Göçü'nün sonucunda Avrupa'da yaygınlaşan toprak yönetimi sistemi hangisidir?,Feodalite (derebeylik)
Tarih,Avrupa'da kurulan ilk Türk devleti hangisidir?,Avrupa Hun Devleti
Tarih,Avrupa Hun Devleti'nin kurucusu kimdir?,Balamir
Tarih,Avrupa Hunlarının en parlak dönemi hangi hükümdar zamanındadır?,Attila
Tarih,Attila'nın Doğu Roma'yı vergiye bağladığı antlaşmalar hangileridir?,Margos ve Anatolios Antlaşmaları
Tarih,Anadolu'ya ilk kez sefer düzenleyen Türk devleti hangisidir?,Avrupa Hunları
Tarih,Anadolu'ya ilk kez sefer düzenleyen Türk hükümdarı kimdir?,Uldız
Tarih,Attila'ya verilen unvanlardan biri 'Tanrı'nın _____' idi.,Kamçısı (Kırbacı)
Tarih,Attila, Almanlara ait Nibelüngen destanında hangi isimle anılır?,Etzel
Tarih,Türk adı ile kurulan ilk Türk devleti hangisidir?,I. Köktürk Devleti
Tarih,I. Köktürk Devleti'nin kurucusu kimdir?,Bumin Kağan
Tarih,I. Köktürk Devleti'nin en parlak dönemi hangi hükümdar zamanındadır?,Mukan Kağan
Tarih,Tarihte parayı ilk kullanan Türk devleti hangisidir?,I. Köktürk Devleti
Tarih,Türklerin ilk millî istiklal ayaklanması olarak bilinen olay hangisidir?,Kürşad Ayaklanması
Tarih,II. Köktürk Devleti'nin kurulmasıyla sonuçlanan başarılı ayaklanma hangisidir?,Kutluk Ayaklanması
Tarih,II. Köktürk Devleti'nin kurucusu kimdir ve hangi unvanı almıştır?,Kutluk Kağan (İlteriş)
Tarih,İlk millî alfabe olan 38 harflik Köktürk alfabesini hangi devlet oluşturmuştur?,II. Köktürk Devleti (Kutluklar)
Tarih,Kaynaklarda 'Apa Tarkan' ve 'Türkler'in Bismarcı' olarak bilinen devlet adamı kimdir?,Vezir Tonyukuk
Tarih,Türk tarihinin ve edebiyatının ilk yazılı örnekleri olan eser hangisidir?,Orhun Abideleri
Tarih,Orhun Abideleri'ni okuyan Danimarkalı dilbilimci kimdir?,Vilhelm Thomsen
Tarih,Uygurların kurucusu kimdir?,Kutluk Bilge Kül Kağan
Tarih,Uygurların en parlak dönemi hangi hükümdar zamanındadır?,Moyen Çor
Tarih,Uygurlar hangi hükümdar döneminde Manihaizm dinini kabul etmiştir?,Bögü Kağan
Tarih,Manihaizm dininin etkisiyle Uygurlarda başlayan yaşam tarzı nedir?,Yerleşik hayat
Tarih,Hareketli harf sistemini (matbaa) kullanan ilk Türk devleti hangisidir?,Uygurlar
Tarih,Töreyi yazılı hale getiren ilk Türk devleti _____ olmuştur.,Uygurlar
Tarih,Uygurlara ait olan ve fal kitabı niteliği taşıyan edebi metin hangisidir?,Irk Bitig
Tarih,İslamiyet'i kabul eden ilk Türk topluluğu hangisidir?,Karluklar
Tarih,İslamiyet'i kabul eden ilk Türk devleti hangisidir?,İtil Bulgarları
Tarih,Kıpçaklara ait olan ve ilk Türkçe sözlük kabul edilen eser nedir?,Codex Cumanicus
Tarih,Tarihte din değiştiren ilk Türk devleti olarak bilinen ve Budizmi benimseyen devlet hangisidir?,Tabgaçlar
Tarih,Türk tarihinde ilk kez 'çar' unvanını kullanan hükümdarlar hangi devlete aittir?,Tuna Bulgarları
Tarih,Moğol hâkimiyetine giren ilk Türk devleti hangisidir?,Kırgızlar
Tarih,Dünyanın en uzun destanı olarak bilinen Manas Destanı hangi Türk halkına aittir?,Kırgızlar
Tarih,Malazgirt Savaşı sırasında Selçuklu tarafına geçen Türk topluluğu hangisidir?,Peçenekler
Tarih,Museviliği kabul eden ilk ve tek Türk devleti hangisidir?,Hazarlar
Tarih,Hazarlardaki adil ve hoşgörülü yönetim anlayışına ne denir?,Paxhazaria (Hazar Barış Çağı)
Tarih,İstanbul'u kuşatan ilk Türk devleti hangisidir?,Avarlar (Juan-Juan)
Tarih,En kalabalık Türk boyu olup, Müslüman olanlarına 'Türkmen' denilen topluluk hangisidir?,Oğuzlar (Uzlar)
Tarih,Kendi adına para bastıran ilk Türk hükümdarı olan Baga Tarkan hangi devlete mensuptur?,Türgişler
Tarih,Tanrı tarafından hükümdara verildiğine inanılan siyasi yönetme yetkisine ne denir?,Kut
Tarih,Tanrı tarafından hükümdara verildiğine inanılan iktisadi-ekonomik güce _____ denir.,Ülüg / Ülüş
Tarih,İslamiyet öncesi Türk hükümdarlarının kullandığı unvanlar nelerdir?,Han, Kağan, İdikkut, İlteber, Tanhu, Şanyü, Erkin
Tarih,İslamiyet öncesi Türk hükümdarlarının kullandığı egemenlik sembolleri nelerdir?,Otağ, örgin, nevbet, sorguç, kamçı, tuğ, yay
Tarih,Devlet işlerinin görüşüldüğü meclise ne ad verilir?,Kurultay (Toy, Kengeş)
Tarih,Kurultay'da din adamlarının bulunmaması, İslamiyet öncesi Türk devletlerinin hangi özelliğe sahip olmadığının kanıtıdır?,Teokratik yapı
Tarih,Devletin doğu ve batı olarak ikiye ayrılarak yönetilmesine ne denir?,İkili Yönetim
Tarih,İkili yönetimde batı kanadını yöneten hanedan üyesine verilen unvan nedir?,Yabgu
Tarih,İslamiyet öncesi Türk toplumunun sosyal yapısı küçükten büyüğe nasıl sıralanır?,Oğuş (aile) < Urug (sülale) < Boy (aşiret) < Bodun (millet) < İl (devlet)
Tarih,Toplumsal yapıyı düzenleyen yazısız hukuk kurallarına ne ad verilir?,Töre
Tarih,Siyasi suçların görüşüldüğü ve başında hakanın bulunduğu mahkemeye ne ad verilir?,Yargu
Tarih,Türklerde 'eli silah tutan herkes askerdir' anlayışına ne denir?,Ordu-millet anlayışı
Tarih,Metehan'ın ordusunu onlu gruplara ayırmasına dayanan askeri sistemin adı nedir?,Onluk sistem
Tarih,Ahiret inancının kesin kanıtları arasında sayılan, mezarlara eşya konulması hangi kavramla ifade edilir?,Kurganlarda eşya bulunması
Tarih,Yerleşik hayatın kesin kanıtları nelerdir?,Geniş çaplı tarım, kalıcı mimari, fresk, tapu ya da kira sözleşmesi
Tarih,Tarım yapıldığının kesin kanıtları nelerdir?,Sulama kanalları, orak ve saban, tohumluk buğday
Tarih,Türklerin tarih boyunca kullandığı alfabeler hangileridir?,Köktürk, Soğd, Uygur, İbrani, Kiril, Arap, Latin
Tarih,İslamiyet öncesi Türk sözlü edebiyatında atasözüne _____ denirdi.,Sav
Tarih,İslamiyet öncesi Türk sözlü edebiyatında ağıta ne ad verilirdi?,Sagu
Tarih,İslamiyet öncesi Türklerin kullandığı, güneş yılı esasına dayalı ve astronomiyle ilgilendiklerini gösteren takvim hangisidir?,12 Hayvanlı Türk Takvimi
Tarih,Asya Hunlarına ait olan ve Mete Han'dan bahseden destan hangisidir?,Oğuz Kağan Destanı
Tarih,Köktürklere ait olan destanlar hangileridir?,Bozkurt ve Ergenekon Destanları
Tarih,Uygurlara ait olan destanlar hangileridir?,Türeyiş ve Göç Destanları
Tarih,Oğuz-Kıpçak mücadelesine yer verilen ünlü eser hangisidir?,Dede Korkut Hikâyeleri
Tarih,İskitlere ait olan ve hükümdar Şu ile Büyük İskender'in mücadelesini anlatan destan hangisidir?,Şu Destanı
